"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Washington County, UT","49053","2019 Week 26 ending June 29, 2019","2019/26",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 27 ending July 06, 2019","2019/27",14,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 28 ending July 13, 2019","2019/28",20,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 29 ending July 20, 2019","2019/29",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 30 ending July 27, 2019","2019/30",19,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 31 ending August 03, 2019","2019/31",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 32 ending August 10, 2019","2019/32",24,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 33 ending August 17, 2019","2019/33",20,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 34 ending August 24, 2019","2019/34",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 35 ending August 31, 2019","2019/35",23,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 36 ending September 07, 2019","2019/36",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 37 ending September 14, 2019","2019/37",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 38 ending September 21, 2019","2019/38",15,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 39 ending September 28, 2019","2019/39",18,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 40 ending October 05, 2019","2019/40",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 41 ending October 12, 2019","2019/41",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 42 ending October 19, 2019","2019/42",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 43 ending October 26, 2019","2019/43",24,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 44 ending November 02, 2019","2019/44",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 45 ending November 09, 2019","2019/45",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 46 ending November 16, 2019","2019/46",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 47 ending November 23, 2019","2019/47",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 48 ending November 30, 2019","2019/48",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 49 ending December 07, 2019","2019/49",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 50 ending December 14, 2019","2019/50",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 51 ending December 21, 2019","2019/51",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2019 Week 52 ending December 28, 2019","2019/52",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 01 ending January 04, 2020","2020/01",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 02 ending January 11, 2020","2020/02",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 03 ending January 18, 2020","2020/03",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 04 ending January 25, 2020","2020/04",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 05 ending February 01, 2020","2020/05",22,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 06 ending February 08, 2020","2020/06",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 07 ending February 15, 2020","2020/07",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 08 ending February 22, 2020","2020/08",20,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 09 ending February 29, 2020","2020/09",45,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 10 ending March 07, 2020","2020/10",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 11 ending March 14, 2020","2020/11",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 12 ending March 21, 2020","2020/12",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 13 ending March 28, 2020","2020/13",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 14 ending April 04, 2020","2020/14",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 15 ending April 11, 2020","2020/15",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 16 ending April 18, 2020","2020/16",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 17 ending April 25, 2020","2020/17",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 18 ending May 02, 2020","2020/18",20,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 19 ending May 09, 2020","2020/19",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 20 ending May 16, 2020","2020/20",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 21 ending May 23, 2020","2020/21",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 22 ending May 30, 2020","2020/22",46,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 23 ending June 06, 2020","2020/23",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 24 ending June 13, 2020","2020/24",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 25 ending June 20, 2020","2020/25",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 26 ending June 27, 2020","2020/26",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 27 ending July 04, 2020","2020/27",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 28 ending July 11, 2020","2020/28",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 29 ending July 18, 2020","2020/29",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 30 ending July 25, 2020","2020/30",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 31 ending August 01, 2020","2020/31",23,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 32 ending August 08, 2020","2020/32",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 33 ending August 15, 2020","2020/33",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 34 ending August 22, 2020","2020/34",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 35 ending August 29, 2020","2020/35",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 36 ending September 05, 2020","2020/36",45,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 37 ending September 12, 2020","2020/37",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 38 ending September 19, 2020","2020/38",25,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 39 ending September 26, 2020","2020/39",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 40 ending October 03, 2020","2020/40",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 41 ending October 10, 2020","2020/41",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 42 ending October 17, 2020","2020/42",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 43 ending October 24, 2020","2020/43",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 44 ending October 31, 2020","2020/44",21,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 45 ending November 07, 2020","2020/45",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 46 ending November 14, 2020","2020/46",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 47 ending November 21, 2020","2020/47",44,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 48 ending November 28, 2020","2020/48",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 49 ending December 05, 2020","2020/49",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 50 ending December 12, 2020","2020/50",52,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 51 ending December 19, 2020","2020/51",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 52 ending December 26, 2020","2020/52",42,Not Applicable,Not Applicable
,"Washington County, UT","49053","2020 Week 53 ending January 02, 2021","2020/53",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 01 ending January 09, 2021","2021/01",50,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 02 ending January 16, 2021","2021/02",56,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 03 ending January 23, 2021","2021/03",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 04 ending January 30, 2021","2021/04",47,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 05 ending February 06, 2021","2021/05",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 06 ending February 13, 2021","2021/06",40,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 07 ending February 20, 2021","2021/07",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 08 ending February 27, 2021","2021/08",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 09 ending March 06, 2021","2021/09",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 10 ending March 13, 2021","2021/10",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 11 ending March 20, 2021","2021/11",44,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 12 ending March 27, 2021","2021/12",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 13 ending April 03, 2021","2021/13",25,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 14 ending April 10, 2021","2021/14",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 15 ending April 17, 2021","2021/15",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 16 ending April 24, 2021","2021/16",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 17 ending May 01, 2021","2021/17",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 18 ending May 08, 2021","2021/18",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 19 ending May 15, 2021","2021/19",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 20 ending May 22, 2021","2021/20",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 21 ending May 29, 2021","2021/21",22,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 22 ending June 05, 2021","2021/22",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 23 ending June 12, 2021","2021/23",24,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 24 ending June 19, 2021","2021/24",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 25 ending June 26, 2021","2021/25",25,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 26 ending July 03, 2021","2021/26",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 27 ending July 10, 2021","2021/27",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 28 ending July 17, 2021","2021/28",25,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 29 ending July 24, 2021","2021/29",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 30 ending July 31, 2021","2021/30",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 31 ending August 07, 2021","2021/31",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 32 ending August 14, 2021","2021/32",42,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 33 ending August 21, 2021","2021/33",32,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 34 ending August 28, 2021","2021/34",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 35 ending September 04, 2021","2021/35",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 36 ending September 11, 2021","2021/36",47,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 37 ending September 18, 2021","2021/37",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 38 ending September 25, 2021","2021/38",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 39 ending October 02, 2021","2021/39",40,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 40 ending October 09, 2021","2021/40",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 41 ending October 16, 2021","2021/41",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 42 ending October 23, 2021","2021/42",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 43 ending October 30, 2021","2021/43",42,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 44 ending November 06, 2021","2021/44",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 45 ending November 13, 2021","2021/45",49,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 46 ending November 20, 2021","2021/46",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 47 ending November 27, 2021","2021/47",42,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 48 ending December 04, 2021","2021/48",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 49 ending December 11, 2021","2021/49",45,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 50 ending December 18, 2021","2021/50",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 51 ending December 25, 2021","2021/51",44,Not Applicable,Not Applicable
,"Washington County, UT","49053","2021 Week 52 ending January 01, 2022","2021/52",42,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 01 ending January 08, 2022 (provisional)","2022/01",52,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 02 ending January 15, 2022 (provisional)","2022/02",52,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 03 ending January 22, 2022 (provisional)","2022/03",55,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 04 ending January 29, 2022 (provisional)","2022/04",51,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 05 ending February 05, 2022 (provisional)","2022/05",50,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 06 ending February 12, 2022 (provisional)","2022/06",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 07 ending February 19, 2022 (provisional)","2022/07",49,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 08 ending February 26, 2022 (provisional)","2022/08",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 09 ending March 05, 2022 (provisional)","2022/09",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 10 ending March 12, 2022 (provisional)","2022/10",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 11 ending March 19, 2022 (provisional)","2022/11",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 12 ending March 26, 2022 (provisional)","2022/12",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 13 ending April 02, 2022 (provisional)","2022/13",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 14 ending April 09, 2022 (provisional)","2022/14",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 15 ending April 16, 2022 (provisional)","2022/15",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 16 ending April 23, 2022 (provisional)","2022/16",40,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 17 ending April 30, 2022 (provisional)","2022/17",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 18 ending May 07, 2022 (provisional)","2022/18",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 19 ending May 14, 2022 (provisional)","2022/19",24,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 20 ending May 21, 2022 (provisional)","2022/20",45,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 21 ending May 28, 2022 (provisional)","2022/21",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 22 ending June 04, 2022 (provisional)","2022/22",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 23 ending June 11, 2022 (provisional)","2022/23",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 24 ending June 18, 2022 (provisional)","2022/24",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 25 ending June 25, 2022 (provisional)","2022/25",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 26 ending July 02, 2022 (provisional)","2022/26",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 27 ending July 09, 2022 (provisional)","2022/27",23,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 28 ending July 16, 2022 (provisional)","2022/28",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 29 ending July 23, 2022 (provisional)","2022/29",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 30 ending July 30, 2022 (provisional)","2022/30",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 31 ending August 06, 2022 (provisional)","2022/31",40,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 32 ending August 13, 2022 (provisional)","2022/32",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 33 ending August 20, 2022 (provisional)","2022/33",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 34 ending August 27, 2022 (provisional)","2022/34",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 35 ending September 03, 2022 (provisional)","2022/35",23,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 36 ending September 10, 2022 (provisional)","2022/36",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 37 ending September 17, 2022 (provisional)","2022/37",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 38 ending September 24, 2022 (provisional)","2022/38",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 39 ending October 01, 2022 (provisional)","2022/39",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 40 ending October 08, 2022 (provisional)","2022/40",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 41 ending October 15, 2022 (provisional)","2022/41",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 42 ending October 22, 2022 (provisional)","2022/42",36,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 43 ending October 29, 2022 (provisional)","2022/43",23,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 44 ending November 05, 2022 (provisional)","2022/44",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 45 ending November 12, 2022 (provisional)","2022/45",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 46 ending November 19, 2022 (provisional)","2022/46",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 47 ending November 26, 2022 (provisional)","2022/47",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 48 ending December 03, 2022 (provisional)","2022/48",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 49 ending December 10, 2022 (provisional)","2022/49",37,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 50 ending December 17, 2022 (provisional)","2022/50",44,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 51 ending December 24, 2022 (provisional)","2022/51",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2022 Week 52 ending December 31, 2022 (provisional)","2022/52",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 01 ending January 07, 2023 (provisional)","2023/01",35,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 02 ending January 14, 2023 (provisional)","2023/02",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 03 ending January 21, 2023 (provisional)","2023/03",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 04 ending January 28, 2023 (provisional)","2023/04",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 05 ending February 04, 2023 (provisional)","2023/05",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 06 ending February 11, 2023 (provisional)","2023/06",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 07 ending February 18, 2023 (provisional)","2023/07",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 08 ending February 25, 2023 (provisional)","2023/08",27,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 09 ending March 04, 2023 (provisional)","2023/09",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 10 ending March 11, 2023 (provisional)","2023/10",17,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 11 ending March 18, 2023 (provisional)","2023/11",43,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 12 ending March 25, 2023 (provisional)","2023/12",41,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 13 ending April 01, 2023 (provisional)","2023/13",29,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 14 ending April 08, 2023 (provisional)","2023/14",39,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 15 ending April 15, 2023 (provisional)","2023/15",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 16 ending April 22, 2023 (provisional)","2023/16",30,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 17 ending April 29, 2023 (provisional)","2023/17",34,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 18 ending May 06, 2023 (provisional)","2023/18",31,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 19 ending May 13, 2023 (provisional)","2023/19",26,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 20 ending May 20, 2023 (provisional)","2023/20",44,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 21 ending May 27, 2023 (provisional)","2023/21",33,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 22 ending June 03, 2023 (provisional)","2023/22",38,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 23 ending June 10, 2023 (provisional)","2023/23",28,Not Applicable,Not Applicable
,"Washington County, UT","49053","2023 Week 24 ending June 17, 2023 (provisional)","2023/24",34,Not Applicable,Not Applicable
"Total","Washington County, UT","49053",,,9175,Not Applicable,Not Applicable
"Total","Wayne County, UT","49055",,,162,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 01 ending January 06, 2018","2018/01",28,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 02 ending January 13, 2018","2018/02",25,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 03 ending January 20, 2018","2018/03",39,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 04 ending January 27, 2018","2018/04",32,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 05 ending February 03, 2018","2018/05",31,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 06 ending February 10, 2018","2018/06",37,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 07 ending February 17, 2018","2018/07",34,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 08 ending February 24, 2018","2018/08",38,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 09 ending March 03, 2018","2018/09",37,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 10 ending March 10, 2018","2018/10",44,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 11 ending March 17, 2018","2018/11",29,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 12 ending March 24, 2018","2018/12",25,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 13 ending March 31, 2018","2018/13",27,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 14 ending April 07, 2018","2018/14",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 15 ending April 14, 2018","2018/15",22,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 16 ending April 21, 2018","2018/16",37,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 17 ending April 28, 2018","2018/17",41,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 18 ending May 05, 2018","2018/18",30,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 19 ending May 12, 2018","2018/19",32,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 20 ending May 19, 2018","2018/20",28,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 21 ending May 26, 2018","2018/21",34,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 22 ending June 02, 2018","2018/22",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 23 ending June 09, 2018","2018/23",49,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 24 ending June 16, 2018","2018/24",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 25 ending June 23, 2018","2018/25",40,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 26 ending June 30, 2018","2018/26",38,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 27 ending July 07, 2018","2018/27",44,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 28 ending July 14, 2018","2018/28",30,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 29 ending July 21, 2018","2018/29",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 30 ending July 28, 2018","2018/30",29,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 31 ending August 04, 2018","2018/31",32,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 32 ending August 11, 2018","2018/32",40,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 33 ending August 18, 2018","2018/33",38,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 34 ending August 25, 2018","2018/34",32,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 35 ending September 01, 2018","2018/35",40,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 36 ending September 08, 2018","2018/36",26,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 37 ending September 15, 2018","2018/37",31,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 38 ending September 22, 2018","2018/38",36,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 39 ending September 29, 2018","2018/39",20,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 40 ending October 06, 2018","2018/40",25,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 41 ending October 13, 2018","2018/41",41,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 42 ending October 20, 2018","2018/42",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 43 ending October 27, 2018","2018/43",27,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 44 ending November 03, 2018","2018/44",42,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 45 ending November 10, 2018","2018/45",38,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 46 ending November 17, 2018","2018/46",32,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 47 ending November 24, 2018","2018/47",33,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 48 ending December 01, 2018","2018/48",36,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 49 ending December 08, 2018","2018/49",35,Not Applicable,Not Applicable
,"Weber County, UT","49057","2018 Week 50 ending December 15, 2018","2018/50",26,Not Applicable,Not Applicable
