"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Kauai County, HI","15007","2023 Week 02 ending January 14, 2023 (provisional)","2023/02",15,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 04 ending January 28, 2023 (provisional)","2023/04",15,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 05 ending February 04, 2023 (provisional)","2023/05",13,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 06 ending February 11, 2023 (provisional)","2023/06",16,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 08 ending February 25, 2023 (provisional)","2023/08",11,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 09 ending March 04, 2023 (provisional)","2023/09",13,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 10 ending March 11, 2023 (provisional)","2023/10",13,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 11 ending March 18, 2023 (provisional)","2023/11",19,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 12 ending March 25, 2023 (provisional)","2023/12",20,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 13 ending April 01, 2023 (provisional)","2023/13",10,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 14 ending April 08, 2023 (provisional)","2023/14",11,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 15 ending April 15, 2023 (provisional)","2023/15",12,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 16 ending April 22, 2023 (provisional)","2023/16",16,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 17 ending April 29, 2023 (provisional)","2023/17",10,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 18 ending May 06, 2023 (provisional)","2023/18",13,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 19 ending May 13, 2023 (provisional)","2023/19",18,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 20 ending May 20, 2023 (provisional)","2023/20",12,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 21 ending May 27, 2023 (provisional)","2023/21",13,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 22 ending June 03, 2023 (provisional)","2023/22",11,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 23 ending June 10, 2023 (provisional)","2023/23",14,Not Applicable,Not Applicable
,"Kauai County, HI","15007","2023 Week 24 ending June 17, 2023 (provisional)","2023/24",11,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 01 ending January 06, 2018","2018/01",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 02 ending January 13, 2018","2018/02",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 03 ending January 20, 2018","2018/03",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 04 ending January 27, 2018","2018/04",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 05 ending February 03, 2018","2018/05",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 06 ending February 10, 2018","2018/06",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 07 ending February 17, 2018","2018/07",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 08 ending February 24, 2018","2018/08",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 09 ending March 03, 2018","2018/09",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 10 ending March 10, 2018","2018/10",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 11 ending March 17, 2018","2018/11",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 12 ending March 24, 2018","2018/12",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 13 ending March 31, 2018","2018/13",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 14 ending April 07, 2018","2018/14",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 15 ending April 14, 2018","2018/15",34,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 16 ending April 21, 2018","2018/16",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 17 ending April 28, 2018","2018/17",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 18 ending May 05, 2018","2018/18",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 19 ending May 12, 2018","2018/19",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 20 ending May 19, 2018","2018/20",16,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 21 ending May 26, 2018","2018/21",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 23 ending June 09, 2018","2018/23",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 24 ending June 16, 2018","2018/24",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 25 ending June 23, 2018","2018/25",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 26 ending June 30, 2018","2018/26",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 27 ending July 07, 2018","2018/27",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 28 ending July 14, 2018","2018/28",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 29 ending July 21, 2018","2018/29",13,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 30 ending July 28, 2018","2018/30",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 31 ending August 04, 2018","2018/31",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 32 ending August 11, 2018","2018/32",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 33 ending August 18, 2018","2018/33",13,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 34 ending August 25, 2018","2018/34",14,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 35 ending September 01, 2018","2018/35",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 36 ending September 08, 2018","2018/36",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 37 ending September 15, 2018","2018/37",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 38 ending September 22, 2018","2018/38",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 39 ending September 29, 2018","2018/39",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 40 ending October 06, 2018","2018/40",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 41 ending October 13, 2018","2018/41",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 42 ending October 20, 2018","2018/42",16,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 43 ending October 27, 2018","2018/43",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 44 ending November 03, 2018","2018/44",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 45 ending November 10, 2018","2018/45",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 46 ending November 17, 2018","2018/46",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 47 ending November 24, 2018","2018/47",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 48 ending December 01, 2018","2018/48",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 49 ending December 08, 2018","2018/49",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 50 ending December 15, 2018","2018/50",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 51 ending December 22, 2018","2018/51",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2018 Week 52 ending December 29, 2018","2018/52",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 01 ending January 05, 2019","2019/01",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 02 ending January 12, 2019","2019/02",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 03 ending January 19, 2019","2019/03",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 04 ending January 26, 2019","2019/04",36,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 05 ending February 02, 2019","2019/05",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 06 ending February 09, 2019","2019/06",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 07 ending February 16, 2019","2019/07",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 08 ending February 23, 2019","2019/08",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 09 ending March 02, 2019","2019/09",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 10 ending March 09, 2019","2019/10",34,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 11 ending March 16, 2019","2019/11",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 12 ending March 23, 2019","2019/12",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 13 ending March 30, 2019","2019/13",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 14 ending April 06, 2019","2019/14",16,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 15 ending April 13, 2019","2019/15",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 16 ending April 20, 2019","2019/16",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 17 ending April 27, 2019","2019/17",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 18 ending May 04, 2019","2019/18",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 19 ending May 11, 2019","2019/19",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 20 ending May 18, 2019","2019/20",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 21 ending May 25, 2019","2019/21",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 22 ending June 01, 2019","2019/22",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 23 ending June 08, 2019","2019/23",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 24 ending June 15, 2019","2019/24",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 25 ending June 22, 2019","2019/25",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 26 ending June 29, 2019","2019/26",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 27 ending July 06, 2019","2019/27",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 28 ending July 13, 2019","2019/28",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 29 ending July 20, 2019","2019/29",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 30 ending July 27, 2019","2019/30",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 31 ending August 03, 2019","2019/31",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 32 ending August 10, 2019","2019/32",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 33 ending August 17, 2019","2019/33",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 34 ending August 24, 2019","2019/34",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 35 ending August 31, 2019","2019/35",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 36 ending September 07, 2019","2019/36",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 37 ending September 14, 2019","2019/37",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 38 ending September 21, 2019","2019/38",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 39 ending September 28, 2019","2019/39",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 40 ending October 05, 2019","2019/40",15,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 41 ending October 12, 2019","2019/41",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 42 ending October 19, 2019","2019/42",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 43 ending October 26, 2019","2019/43",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 44 ending November 02, 2019","2019/44",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 45 ending November 09, 2019","2019/45",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 46 ending November 16, 2019","2019/46",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 47 ending November 23, 2019","2019/47",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 48 ending November 30, 2019","2019/48",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 49 ending December 07, 2019","2019/49",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 50 ending December 14, 2019","2019/50",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 51 ending December 21, 2019","2019/51",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2019 Week 52 ending December 28, 2019","2019/52",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 01 ending January 04, 2020","2020/01",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 02 ending January 11, 2020","2020/02",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 03 ending January 18, 2020","2020/03",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 04 ending January 25, 2020","2020/04",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 05 ending February 01, 2020","2020/05",34,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 06 ending February 08, 2020","2020/06",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 07 ending February 15, 2020","2020/07",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 08 ending February 22, 2020","2020/08",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 09 ending February 29, 2020","2020/09",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 10 ending March 07, 2020","2020/10",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 11 ending March 14, 2020","2020/11",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 12 ending March 21, 2020","2020/12",16,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 13 ending March 28, 2020","2020/13",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 14 ending April 04, 2020","2020/14",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 15 ending April 11, 2020","2020/15",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 16 ending April 18, 2020","2020/16",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 17 ending April 25, 2020","2020/17",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 18 ending May 02, 2020","2020/18",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 19 ending May 09, 2020","2020/19",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 20 ending May 16, 2020","2020/20",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 21 ending May 23, 2020","2020/21",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 22 ending May 30, 2020","2020/22",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 23 ending June 06, 2020","2020/23",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 24 ending June 13, 2020","2020/24",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 25 ending June 20, 2020","2020/25",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 26 ending June 27, 2020","2020/26",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 27 ending July 04, 2020","2020/27",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 28 ending July 11, 2020","2020/28",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 29 ending July 18, 2020","2020/29",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 30 ending July 25, 2020","2020/30",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 31 ending August 01, 2020","2020/31",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 32 ending August 08, 2020","2020/32",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 33 ending August 15, 2020","2020/33",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 34 ending August 22, 2020","2020/34",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 35 ending August 29, 2020","2020/35",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 36 ending September 05, 2020","2020/36",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 37 ending September 12, 2020","2020/37",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 38 ending September 19, 2020","2020/38",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 39 ending September 26, 2020","2020/39",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 40 ending October 03, 2020","2020/40",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 41 ending October 10, 2020","2020/41",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 42 ending October 17, 2020","2020/42",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 43 ending October 24, 2020","2020/43",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 44 ending October 31, 2020","2020/44",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 45 ending November 07, 2020","2020/45",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 46 ending November 14, 2020","2020/46",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 47 ending November 21, 2020","2020/47",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 48 ending November 28, 2020","2020/48",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 49 ending December 05, 2020","2020/49",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 50 ending December 12, 2020","2020/50",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 51 ending December 19, 2020","2020/51",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 52 ending December 26, 2020","2020/52",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2020 Week 53 ending January 02, 2021","2020/53",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 01 ending January 09, 2021","2021/01",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 02 ending January 16, 2021","2021/02",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 03 ending January 23, 2021","2021/03",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 04 ending January 30, 2021","2021/04",15,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 05 ending February 06, 2021","2021/05",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 06 ending February 13, 2021","2021/06",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 07 ending February 20, 2021","2021/07",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 08 ending February 27, 2021","2021/08",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 09 ending March 06, 2021","2021/09",34,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 10 ending March 13, 2021","2021/10",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 11 ending March 20, 2021","2021/11",37,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 12 ending March 27, 2021","2021/12",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 13 ending April 03, 2021","2021/13",43,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 14 ending April 10, 2021","2021/14",39,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 15 ending April 17, 2021","2021/15",35,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 16 ending April 24, 2021","2021/16",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 17 ending May 01, 2021","2021/17",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 18 ending May 08, 2021","2021/18",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 19 ending May 15, 2021","2021/19",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 20 ending May 22, 2021","2021/20",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 21 ending May 29, 2021","2021/21",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 22 ending June 05, 2021","2021/22",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 23 ending June 12, 2021","2021/23",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 24 ending June 19, 2021","2021/24",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 25 ending June 26, 2021","2021/25",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 26 ending July 03, 2021","2021/26",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 27 ending July 10, 2021","2021/27",27,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 28 ending July 17, 2021","2021/28",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 29 ending July 24, 2021","2021/29",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 30 ending July 31, 2021","2021/30",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 31 ending August 07, 2021","2021/31",15,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 32 ending August 14, 2021","2021/32",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 33 ending August 21, 2021","2021/33",36,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 34 ending August 28, 2021","2021/34",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 35 ending September 04, 2021","2021/35",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 36 ending September 11, 2021","2021/36",36,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 37 ending September 18, 2021","2021/37",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 38 ending September 25, 2021","2021/38",35,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 39 ending October 02, 2021","2021/39",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 40 ending October 09, 2021","2021/40",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 41 ending October 16, 2021","2021/41",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 42 ending October 23, 2021","2021/42",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 43 ending October 30, 2021","2021/43",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 44 ending November 06, 2021","2021/44",28,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 45 ending November 13, 2021","2021/45",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 46 ending November 20, 2021","2021/46",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 47 ending November 27, 2021","2021/47",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 48 ending December 04, 2021","2021/48",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 49 ending December 11, 2021","2021/49",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 50 ending December 18, 2021","2021/50",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 51 ending December 25, 2021","2021/51",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2021 Week 52 ending January 01, 2022","2021/52",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 01 ending January 08, 2022 (provisional)","2022/01",32,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 02 ending January 15, 2022 (provisional)","2022/02",17,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 03 ending January 22, 2022 (provisional)","2022/03",29,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 04 ending January 29, 2022 (provisional)","2022/04",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 05 ending February 05, 2022 (provisional)","2022/05",36,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 06 ending February 12, 2022 (provisional)","2022/06",38,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 07 ending February 19, 2022 (provisional)","2022/07",36,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 08 ending February 26, 2022 (provisional)","2022/08",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 09 ending March 05, 2022 (provisional)","2022/09",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 10 ending March 12, 2022 (provisional)","2022/10",43,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 11 ending March 19, 2022 (provisional)","2022/11",33,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 12 ending March 26, 2022 (provisional)","2022/12",18,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 13 ending April 02, 2022 (provisional)","2022/13",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 14 ending April 09, 2022 (provisional)","2022/14",30,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 15 ending April 16, 2022 (provisional)","2022/15",21,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 16 ending April 23, 2022 (provisional)","2022/16",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 17 ending April 30, 2022 (provisional)","2022/17",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 18 ending May 07, 2022 (provisional)","2022/18",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 19 ending May 14, 2022 (provisional)","2022/19",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 20 ending May 21, 2022 (provisional)","2022/20",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 21 ending May 28, 2022 (provisional)","2022/21",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 22 ending June 04, 2022 (provisional)","2022/22",20,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 23 ending June 11, 2022 (provisional)","2022/23",25,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 24 ending June 18, 2022 (provisional)","2022/24",19,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 25 ending June 25, 2022 (provisional)","2022/25",31,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 26 ending July 02, 2022 (provisional)","2022/26",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 27 ending July 09, 2022 (provisional)","2022/27",24,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 28 ending July 16, 2022 (provisional)","2022/28",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 29 ending July 23, 2022 (provisional)","2022/29",23,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 30 ending July 30, 2022 (provisional)","2022/30",26,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 31 ending August 06, 2022 (provisional)","2022/31",22,Not Applicable,Not Applicable
,"Maui County, HI","15009","2022 Week 32 ending August 13, 2022 (provisional)","2022/32",29,Not Applicable,Not Applicable
